objectid,originalid,projectcode,stationcode,stationdesc,sampledate,evaluator,determination,determinationcomments,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,gradecontrolcomments,channelmodcomments,lastchangedate,latitude,longitude,record_timestamp,app_timestamp,sitetype,novelsite,record_origin,origin_lastupdatedate,record_publish,globalid,created_user,created_date,last_edited_user,last_edited_date,login_agency,login_email,login_owner,login_year,login_project,ceden_publish,masterid,huc,county,smcshed,comid,channel_engineering_class
7960,445,NA,412M08695,NA,6/12/2023,W. Willis,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{D3F5FEF8-52B6-4273-B2E3-954C388814C0},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412M08695,412,Los Angeles,Los Angeles,22514954,HB
7957,442,NA,412M08702,NA,6/13/2023,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{3CA6CF92-2A52-4665-BD42-29C008AA93D1},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412M08702,412,Los Angeles,Los Angeles,948070459,NAT
1990,405,NA,412M10210,NA,7/12/2023,Damon Owen,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Soft/Natural,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{4D2E7B5B-1EDB-404E-93E6-025ECF1F41BC},checker,9/5/2023 16:58,checker,9/5/2023 16:58,WestonSolu,damon.owen@westonsolutions.com,LACFCD,2023,SMC,NA,412M10210,412,Los Angeles,Los Angeles,22515824,SB2
7962,447,NA,412PS0020,NA,9/25/2023,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{A3217661-DC90-4599-A2A7-C28BDA5A8C4A},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412PS0020,412,Los Angeles,Los Angeles,22515828,HB
7956,441,NA,412WE0552,NA,6/20/2023,B. Jones,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{25F1A7FC-4E74-4B47-A9A3-30688C46678C},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412WE0552,412,Los Angeles,Los Angeles,22514712,NAT
47473,494,NA,801M16728,NA,5/16/2023,A. Furler,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft/Natural,NA,NA,NA,NR,Absent,NR,sediment retention ponds downstream ~800m,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{66C177B8-C89A-48BE-967D-2520C03D3B04},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801M16728,801,San Bernardino,Upper Santa Ana,22557960,NAT
1974,389,NA,802WE0658,NA,6/15/2023,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within reach,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{3DD9AEE5-2D5C-45C8-B183-ACA5CDE71CF8},checker,8/30/2023 18:57,checker,8/30/2023 18:57,WestonSolu,damon.owen@westonsolutions.com,RCFC,2023,SMC,NA,802WE0658,802,Riverside,San Jacinto,22535146,NAT
2019,433,NA,845M10616,NA,6/1/2023,K. Wisenbaker,Site visit,NA,Engineered,< 5 m,Trapezoidal,NA,Rock,No,NA,Rock,No,NA,Rock,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{18DA46E4-9DCC-4210-B515-E969CFABBD5F},checker,10/6/2023 18:13,checker,10/6/2023 18:13,ABCL,alexis@aquaticbioassay.com,OCPW,2023,SMC,NA,845M10616,845,Orange,San Gabriel,22525759,SB0
2023,439,NA,901M14156,NA,5/17/2023,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{7C3C82C9-7E7E-4684-B0E5-50F454D9B411},checker,10/6/2023 18:13,checker,10/6/2023 18:13,ABCL,alexis@aquaticbioassay.com,OCPW,2023,SMC,NA,901M14156,901,Orange,San Juan,20348223,NAT
1344,NA,NotRecorded,403STCPRU,NA,1/1/1950,K.Hahs,Other,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NR,NA,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{EFC4E2B2-FD4C-4640-A7BE-5356AAB3D690},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403STCPRU,403,Ventura,Santa Clara,17574677,NAT
40,NA,NA,403M01553,NA,5/25/2017,Karin Wisenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{14A22732-50CC-46D3-AA2B-CB78A22E93AE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403M01553,403,Ventura,Santa Clara,17574395,NAT
8600,465,NA,405M10613,NA,10/10/2023,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{9667F7A0-87D5-47F2-91D8-603CD53A98AF},checker,11/3/2023 18:02,checker,11/3/2023 18:02,ABCL,alexis@aquaticbioassay.com,SGRRMP,2023,SMC,NA,405M10613,405,Los Angeles,San Gabriel,22523245,NAT
8914,467,NA,405M10617,NA,10/10/2023,K. Wisenbaker,Site visit,NA,Engineered,< 5 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Present,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{74682570-DFFA-4D85-BB79-2ED24F0BEAF5},checker,11/4/2023 1:28,checker,11/4/2023 1:28,ABCL,alexis@aquaticbioassay.com,SGRRMP,2023,SMC,NA,405M10617,405,Los Angeles,San Gabriel,22525657,HB
35627,482,NA,407CE0092,NA,5/9/2023 8:00,B. Jakl,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Earthen,Yes,NA,Grouted rock,No,NA,Grouted rock,NA,"Yes, not within past month",Absent,NR,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{094A5E5F-CCAA-4E76-8E57-B877631E1B8C},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,407CE0092,407,Ventura,Santa Clara,17586996,HB
121,NA,NotRecorded,408CAL008,NA,1/1/1950,K.Hahs,Other,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NR,NA,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{26C4CF55-8D01-409D-AF9B-DE1137D6EAFE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408CAL008,408,Ventura,Calleguas,17563888,NAT
35629,484,NA,407CE0668,NA,5/9/2023 12:00,B. Jakl,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Grouted rock,Yes,NA,Grouted rock,No,NA,Grouted rock,NA,No,Absent,NR,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{EA3FD079-FD3E-4387-B7EC-57A61594D124},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,407CE0668,407,Ventura,Santa Clara,17586996,HB
2015,429,NA,408M03188,NA,5/31/2023,W. Willis,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{41DC52A4-5E6A-4558-A5FF-69A26E15704F},checker,10/5/2023 16:29,checker,10/5/2023 16:29,ABCL,alexis@aquaticbioassay.com,VCWPD,2023,SMC,NA,408M03188,408,Ventura,Calleguas,948070327,HB
2009,423,NA,408M03190,NA,6/14/2023,B. Jones,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Grouted rock,No,NA,Grouted rock,No,NA,Soft/Natural,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{5BDB7FA8-21FC-4405-8906-AF4C17998EA0},checker,10/5/2023 16:29,checker,10/5/2023 16:29,ABCL,alexis@aquaticbioassay.com,VCWPD,2023,SMC,NA,408M03190,408,Ventura,Calleguas,17563904,SB2
1992,407,NA,411M07394,NA,6/13/2023,Damon Owen,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{3448A2FA-ABE9-4077-A8BA-A32F993706F2},checker,9/5/2023 17:06,checker,9/5/2023 17:06,WestonSolu,damon.owen@westonsolutions.com,LACFCD,2023,SMC,NA,411M07394,411,Los Angeles,Dominguez Gap,20366123,HB
1989,404,NA,412M08599,NA,7/11/2023,Damon Owen,Site visit,NA,Engineered,50 to 100 m,Trapezoidal,NA,Concrete,NR,NA,Concrete,NR,NA,Soft/Natural,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{6A1306F2-7026-4836-9B1B-1E308BF470D9},checker,9/5/2023 16:58,checker,9/5/2023 16:58,WestonSolu,damon.owen@westonsolutions.com,LACFCD,2023,SMC,NA,412M08599,412,Los Angeles,Los Angeles,22515824,SB2
7963,448,NA,412M08694,NA,9/25/2023,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,Yes,NA,Concrete,Yes,NA,Concrete,NA,No,Present,1 to 5 m,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{0D0F6432-7D7E-4F4F-BF83-262806AA215A},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412M08694,412,Los Angeles,Los Angeles,22515822,HB
7961,446,NA,412M08698,NA,6/6/2023,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{D7843AE0-AB36-4999-BD2B-E3270745A646},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412M08698,412,Los Angeles,Los Angeles,22514672,NAT
127,NA,NA,408M03027,NA,6/29/2016,Karin WIsenbaker,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{9EFAD8B1-248F-452B-A24B-376CE1542CFE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408M03027,408,Ventura,Calleguas,948070330,NAT
1997,411,NA,403M05947,NA,6/22/2023,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{227231C6-CD7E-43EE-A6D7-177191C6DE53},checker,9/5/2023 17:06,checker,9/5/2023 17:06,WestonSolu,damon.owen@westonsolutions.com,LACFCD,2023,SMC,NA,403M05947,403,Los Angeles,Santa Clara,17572229,NAT
35626,481,NA,403WE0746,NA,5/18/2023 8:00,B. Jakl,Site visit,NA,Engineered,50 to 100 m,Natural,NA,Concrete,Yes,NA,Earthen,No,NA,Rock,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{56A6086C-DF93-4193-9D54-8435D8CAD8B6},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,403WE0746,403,Ventura,Santa Clara,17572895,SB1
35630,485,NA,403WE0809,NA,5/8/2023 13:00,B. Jakl,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{A8CF13C4-D18A-487E-8DD0-BFFF5668384A},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,403WE0809,403,Ventura,Santa Clara,17568017,NAT
35625,480,NA,403WE0905,NA,5/8/2023 13:00,B. Jakl,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{07A6C25A-CC8D-40FD-8ECA-7AB00E9A2786},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,403WE0905,403,Ventura,Santa Clara,17568579,NAT
35628,483,NA,403WE1021,NA,5/15/2023 15:00,B. Jakl,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{31E2B892-A867-4D1E-82FE-1CA8AB0FB0B0},checker,12/13/2023 17:56,checker,12/13/2023 17:56,MPSL-DFG,william.jakl@sjsu.edu,RWQCB4,2023,SMC,NA,403WE1021,403,Los Angeles,Santa Clara,17569571,NAT
8594,458,NA,405CE0280,NA,7/27/2023,S. Johnson,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{8C1E9C3C-8AA4-4D6A-A8A6-DC43415717DD},checker,11/3/2023 18:02,checker,11/3/2023 18:02,ABCL,alexis@aquaticbioassay.com,SGRRMP,2023,SMC,NA,405CE0280,405,Los Angeles,San Gabriel,22524653,NAT
7958,443,NA,412WE0896,NA,6/13/2023,B. Jones,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{72F1D843-20D1-4418-9CC5-2258ADDE2F1E},checker,11/2/2023 22:14,checker,11/2/2023 22:14,ABCL,alexis@aquaticbioassay.com,LARWMP,2023,SMC,NA,412WE0896,412,Los Angeles,Los Angeles,22514528,NAT
47465,486,NA,801BBGC02,NA,6/27/2023,A. Furler,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft/Natural,NA,NA,NA,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{C98CCCED-0342-486C-AD64-6FC9F1AEAC33},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801BBGC02,801,San Bernardino,Upper Santa Ana,22558582,NAT
47471,492,NA,801BBMC01,NA,6/28/2023,A. Furler,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft/Natural,NA,NA,NA,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{E0C6BB9D-9A74-4D29-8679-A22E63A8D4F8},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801BBMC01,801,San Bernardino,Upper Santa Ana,22558634,NAT
47470,491,NA,801BBRC01,NA,6/28/2023,A. Furler,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft/Natural,NA,NA,NA,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{694053A7-BF52-4ADB-998B-6409E54F9BDD},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801BBRC01,801,San Bernardino,Upper Santa Ana,0,SB0
2021,436,NA,801M12716,NA,5/24/2023,K. Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{D9E02F0F-19C4-4AF2-BF08-BA1E5FBD9CE8},checker,10/6/2023 18:13,checker,10/6/2023 18:13,ABCL,alexis@aquaticbioassay.com,OCPW,2023,SMC,NA,801M12716,801,Orange,Lower Santa Ana,20359258,HB
18442,478,NA,801M16708,NA,6/14/2023,B. Isham,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{E4C6226C-9A5E-45E6-9616-2740A9D2F9A2},checker,11/19/2023 22:24,checker,11/19/2023 22:24,Wood E&I,bill.isham@wsp.com,SBCFCD,2023,SMC,NA,801M16708,801,San Bernardino,Middle Santa Ana,22557998,HB
18440,476,NA,801M16710,NA,6/8/2023,B. Isham,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,Soft/Natural,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{028DD678-75D4-45B1-B165-885BAD27363B},checker,11/19/2023 22:24,checker,11/19/2023 22:24,Wood E&I,bill.isham@wsp.com,SBCFCD,2023,SMC,NA,801M16710,801,San Bernardino,Middle Santa Ana,22554656,NAT
72,NA,NotRecorded,403STC086,NA,1/1/1950,K.Hahs,Other,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NR,NA,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{2B99DD15-CA2D-4754-9735-F95622D649EA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403STC086,403,Ventura,Santa Clara,17567995,NAT
1539,NA,NA,904WE1125,NA,4/25/2017,B.Isham,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,10/2/2017 8:35,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3D866E95-8B95-4129-A1B9-C380C004D0A8},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904WE1125,904,San Diego,Central San Diego,20341953,NAT
1547,NA,NA,905M21756,NA,5/4/2017,B.Isham,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,10/2/2017 8:37,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A31832B5-2C4A-45EA-8861-9BD5BAE40458},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905M21756,905,San Diego,Central San Diego,20328616,NAT
1589,NA,NA,909WE0662,NA,5/5/2017,B.Isham,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,10/2/2017 8:43,NA,exists,FALSE,SMC,1/23/2019,TRUE,{56969AA3-50F3-47D0-8128-38B41CA7F4EE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,909WE0662,909,San Diego,Southern San Diego,20332896,NAT
27,248,SMC_VCWPD_2021,402M00138,NA,5/20/2021,S. Johnson,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/17/2021 13:54,TRUE,{5B6A97FF-7562-4866-8AB3-ECDA8C2D12C4},checker,10/17/2021 13:54,checker,10/17/2021 13:54,ABCL,alexis@aquaticbioassay.com,VCWPD,2021,SMC,NA,402M00138,402,Ventura,Ventura,17586616,NAT
