"","ChannelType","hydro.endpoints","Categories","Tally","TotalSites","PercentSites","Flow.Metric.Name","Flow.Component"
"97","All","FA_Mag","Type E",17,248,6.85483870967742,"Fall pulse magnitude","Fall pulse flow"
"98","All","FA_Mag","Type B",3,248,1.20967741935484,"Fall pulse magnitude","Fall pulse flow"
"99","All","FA_Mag","Type C",1,248,0.403225806451613,"Fall pulse magnitude","Fall pulse flow"
"100","All","Peak_10","Type A2",30,248,12.0967741935484,"10-year flood magnitude","Peak flow"
"101","All","Peak_10","Type A",181,248,72.9838709677419,"10-year flood magnitude","Peak flow"
"102","All","Peak_10","Type D",33,248,13.3064516129032,"10-year flood magnitude","Peak flow"
"103","All","Peak_10","Type B",4,248,1.61290322580645,"10-year flood magnitude","Peak flow"
"104","All","Peak_2","Type A",202,249,81.1244979919679,"2-year flood magnitude","Peak flow"
"105","All","Peak_2","Type D",37,249,14.859437751004,"2-year flood magnitude","Peak flow"
"106","All","Peak_2","Type A2",7,249,2.81124497991968,"2-year flood magnitude","Peak flow"
"107","All","Peak_2","Type B",3,249,1.20481927710843,"2-year flood magnitude","Peak flow"
"108","All","Peak_5","Type A2",25,248,10.0806451612903,"5-year flood magnitude","Peak flow"
"109","All","Peak_5","Type A",191,248,77.0161290322581,"5-year flood magnitude","Peak flow"
"110","All","Peak_5","Type D",32,248,12.9032258064516,"5-year flood magnitude","Peak flow"
"111","All","SP_Mag","Type A",238,249,95.5823293172691,"Spring recession magnitude","Spring recession flow"
"112","All","SP_Mag","Type D",10,249,4.01606425702811,"Spring recession magnitude","Spring recession flow"
"113","All","SP_Mag","Type A2",1,249,0.401606425702811,"Spring recession magnitude","Spring recession flow"
"114","All","Wet_BFL_Mag_10","Type A2",37,249,14.859437751004,"Wet-season low baseflow","Wet-season baseflow"
"115","All","Wet_BFL_Mag_10","Type A",164,249,65.863453815261,"Wet-season low baseflow","Wet-season baseflow"
"116","All","Wet_BFL_Mag_10","Type E",41,249,16.4658634538153,"Wet-season low baseflow","Wet-season baseflow"
"117","All","Wet_BFL_Mag_10","Type B",4,249,1.60642570281124,"Wet-season low baseflow","Wet-season baseflow"
"118","All","Wet_BFL_Mag_10","Type D",3,249,1.20481927710843,"Wet-season low baseflow","Wet-season baseflow"
"119","All","Wet_BFL_Mag_50","Type A",214,249,85.9437751004016,"Wet-season median baseflow","Wet-season baseflow"
"120","All","Wet_BFL_Mag_50","Type E",14,249,5.62248995983936,"Wet-season median baseflow","Wet-season baseflow"
"121","All","Wet_BFL_Mag_50","Type A2",11,249,4.41767068273092,"Wet-season median baseflow","Wet-season baseflow"
"122","All","Wet_BFL_Mag_50","Type C",4,249,1.60642570281124,"Wet-season median baseflow","Wet-season baseflow"
"123","All","Wet_BFL_Mag_50","Type B",6,249,2.40963855421687,"Wet-season median baseflow","Wet-season baseflow"
"124","All","Q99","Type A",217,248,87.5,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"125","All","Q99","Type D",20,248,8.06451612903226,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"126","All","Q99","Type A2",11,248,4.43548387096774,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
