"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Match"
"30","902M18893",2017,0.80896179,5.23030094905095,"DS_Mag_50","NAT",0.90896179,99.99,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",62.3784407834368,"Yes"
"31","SMC00190",2008,0.41560858,3.0057823010323,"DS_Mag_50","HB",0.51560858,502.7,"NAT",-11.2137267672896,1.96772076875167,"No","No",34.5354862168202,"Yes"
"32","SMC00436",2009,0.4877381,15.4134874292374,"DS_Mag_50","HB",0.5877381,12.2,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.2337731627227,"Yes"
"33","SMC01158",2009,0.49183638,2.5736192973693,"DS_Mag_50","NAT",0.59183638,416.92,"NAT",-11.2137267672896,1.96772076875167,"No","No",23.542663409346,"Yes"
"34","SMC01567",2010,0.62094717,1.03200882450883,"DS_Mag_50","NAT",0.72094717,513.56,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"35","SMC03984",2012,0.66900761,-0.460165834165835,"DS_Mag_50","SB1",0.76900761,2688.16,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"36","SMC08094",2012,0.49320633,15.0697981185481,"DS_Mag_50","SB2",0.59320633,12.28,"NAT",-11.2137267672896,1.96772076875167,"No","No",86.9426202443298,"Yes"
"37","SMC09118",2013,0.38672401,15.0697981185481,"DS_Mag_50","SB2",0.48672401,35.3,"NAT",-11.2137267672896,1.96772076875167,"No","No",86.9426202443298,"Yes"
"38","SMC02152",2010,0.53676253,-9.69973359973361,"DS_Mag_50","NAT",0.63676253,107.12,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"39","SMC04670",2008,0.27262122,22.6159293206793,"DS_Mag_50","HB",0.37262122,47.27,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Yes"
"40","SMC05332",2012,0.66888292,4.62766358641358,"DS_Mag_50","SB1",0.76888292,25.07,"NAT",-11.2137267672896,1.96772076875167,"No","No",57.4791742742768,"Yes"
"41","SMC13391",2012,0.88988338,3.13876423576423,"DS_Mag_50","NAT",0.98988338,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.3090611161317,"Yes"
"42","412WE0552",2018,0.77088383,1.06290268065268,"DS_Mag_50","NAT",0.87088383,99.73,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"43","SMC03110",2011,0.60435928,0.668890193140191,"DS_Mag_50","NAT",0.70435928,982.22,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"44","SMC00899",2022,0.25508788,-26.87806002331,"DS_Mag_50","HB",0.35508788,6.85,"NAT",-11.2137267672896,1.96772076875167,"No","No",58.2792554315137,"Yes"
"45","ME-VR2",2018,0.77573537,3.13886163836162,"DS_Mag_50","SB1",0.87573537,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",37.311006490278,"Yes"
"46","SMC04682",2011,1.07793013,3.01513653013653,"DS_Mag_50","NAT",1.17793013,100.16,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",34.7385848340815,"Yes"
"47","SGUT503",2011,0.83493444,0.862024725274724,"DS_Mag_50","NAT",0.93493444,99.77,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"48","SMC08150",2014,0.73153765,0.0441269563769564,"DS_Mag_50","NAT",0.83153765,90.65,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"49","801M16973",2018,0.73132663,1.81701332001332,"DS_Mag_50","NAT",0.83132663,100.16,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"50","SMC04532",2012,0.64466926,15.4134874292374,"DS_Mag_50","HB",0.74466926,67.73,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.2337731627227,"Yes"
"51","905M21721",2015,0.67998428,1.83007267732268,"DS_Mag_50","NAT",0.77998428,48.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"52","906M21770",2018,0.61784957,16.4486207958708,"DS_Mag_50","HB",0.71784957,60.49,"NAT",-11.2137267672896,1.96772076875167,"No","No",88.0371686284747,"Yes"
"53","SMC00473",2009,0.77498554,0.490222527472528,"DS_Mag_50","NAT",0.87498554,99.95,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"54","SMC01278",2016,0.39438134,20.722433982684,"DS_Mag_50","HB",0.49438134,4.68,"NAT",-11.2137267672896,1.96772076875167,"No","No",90.5043935939382,"Yes"
"55","SMC01320",2010,0.60143662,-0.790368714618715,"DS_Mag_50","NAT",0.70143662,2038.29,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"56","SMC01990",2009,0.61705717,2.86592740592741,"DS_Mag_50","SB0",0.71705717,128.41,"NAT",-11.2137267672896,1.96772076875167,"No","No",31.3408719047816,"Yes"
"57","SMC01772",2012,0.5946632,50.3184219946719,"DS_Mag_50","HB",0.6946632,84.58,"NAT",-11.2137267672896,1.96772076875167,"No","No",96.0894624856081,"Yes"
"58","SMC01824",2012,0.60387461,2.78732467532468,"DS_Mag_50","HB",0.70387461,160.73,"NAT",-11.2137267672896,1.96772076875167,"No","No",29.4046801877337,"Yes"
"59","SMC03646",2013,0.53242816,30.8408154345655,"DS_Mag_50","HB",0.63242816,64.1,"NAT",-11.2137267672896,1.96772076875167,"No","No",93.6197511608389,"Yes"
"60","SMC06863",2011,0.9775222,0.836883283383284,"DS_Mag_50","NAT",1.0775222,100.37,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"61","SMC16045",2012,0.50959439,2.49595596070596,"DS_Mag_50","HB",0.60959439,393.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Yes"
"62","402M00002",2015,0.70665225,8.85889618714618,"DS_Mag_50","NAT",0.80665225,94.14,"NAT",-11.2137267672896,1.96772076875167,"No","No",77.7881947459015,"Yes"
"63","SMC01320",2022,1.01914883,-0.790368714618715,"DS_Mag_50","NAT",1.11914883,398.55,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"64","SGLT506",2021,0.35263862,8.45199225774225,"DS_Mag_50","SB2",0.45263862,181.38,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Yes"
"65","SMC03984",2021,1.09851725,-0.460165834165835,"DS_Mag_50","SB1",1.19851725,756.25,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"66","SMC02656",2018,0.46463614,4.08904329004329,"DS_Mag_50","HB",0.56463614,264.12,"NAT",-11.2137267672896,1.96772076875167,"No","No",51.8782113766558,"Yes"
"67","801M16957",2019,0.48212764,1.20609981684982,"DS_Mag_50","NAT",0.58212764,1048.84,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"68","SMC02127",2021,0.87988799,3.10044846819847,"DS_Mag_50","NAT",0.97988799,99.99,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",36.5343178919202,"Yes"
"69","412M08602",2015,0.41044659,30.8408154345655,"DS_Mag_50","HB",0.51044659,40.01,"NAT",-11.2137267672896,1.96772076875167,"No","No",93.6197511608389,"Yes"
"70","412M08616",2016,0.48068983,3.32127322677323,"DS_Mag_50","HB",0.58068983,319.76,"NAT",-11.2137267672896,1.96772076875167,"No","No",40.754023099045,"Yes"
"71","SMC00899",2011,0.31748615,-26.87806002331,"DS_Mag_50","HB",0.41748615,6.85,"NAT",-11.2137267672896,1.96772076875167,"No","No",58.2792554315137,"Yes"
"72","SMC01260",2012,0.45918083,8.45199225774225,"DS_Mag_50","HB",0.55918083,80.1,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Yes"
"73","SMC17056",2009,0.72649786,10.6977474192474,"DS_Mag_50","NAT",0.82649786,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",81.6062139847185,"Yes"
"74","ME-VR2",2016,0.56666037,3.13886163836162,"DS_Mag_50","SB1",0.66666037,194.66,"NAT",-11.2137267672896,1.96772076875167,"No","No",37.311006490278,"Yes"
"75","SMC04294",2013,0.78366223,1.39869272394273,"DS_Mag_50","NAT",0.88366223,100.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"76","412M08642",2018,0.69076579,22.7544548784549,"DS_Mag_50","HB",0.79076579,91.63,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.3523713081133,"Yes"
"77","404M04672",2020,0.7231196,13.157228021978,"DS_Mag_50","NAT",0.8231196,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",85.0445643606331,"Yes"
"78","SGLT506",2019,0.5133318,8.45199225774225,"DS_Mag_50","SB2",0.6133318,43.19,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Yes"
"79","SMC05968",2020,0.92788204,-7.2275929070929,"DS_Mag_50","NAT",1.02788204,31.27,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"80","906M21758",2017,0.76665115,4.91313836163836,"DS_Mag_50","NAT",0.86665115,99.94,"NAT",-11.2137267672896,1.96772076875167,"No","No",59.9498197706872,"Yes"
"81","SMC05407",2011,1.01209826,1.23608391608391,"DS_Mag_50","NAT",1.11209826,100.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"82","402SNPMCR",2014,0.90409787,1.22914552114552,"DS_Mag_50","NAT",1.00409787,100.07,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"83","403M05774",2016,0.76272586,10.5921439393939,"DS_Mag_50","NAT",0.86272586,99.98,"NAT",-11.2137267672896,1.96772076875167,"No","No",81.4228282771593,"Yes"
"84","907BCT",2014,0.86788744,1.46018581418581,"DS_Mag_50","NAT",0.96788744,99.99,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"85","SMC01979",2011,0.94480292,10.7178681318681,"DS_Mag_50","NAT",1.04480292,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",81.6407447400764,"Yes"
"86","SMC02656",2009,0.61650077,4.08904329004329,"DS_Mag_50","HB",0.71650077,60.65,"NAT",-11.2137267672896,1.96772076875167,"No","No",51.8782113766558,"Yes"
"87","SMC03929",2012,0.73059828,2.35464493839494,"DS_Mag_50","NAT",0.83059828,99.8,"NAT",-11.2137267672896,1.96772076875167,"No","No",16.4323785439608,"Yes"
"88","SMC06740",2013,0.52573471,12.8356191308691,"DS_Mag_50","HB",0.62573471,10.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",84.6698414101476,"Yes"
"89","SMC22521",2013,0.49731068,2.49595596070596,"DS_Mag_50","HB",0.59731068,420.68,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Yes"
"90","SMC00236",2021,0.44057374,4.40859865134864,"DS_Mag_50","HB",0.54057374,272.2,"NAT",-11.2137267672896,1.96772076875167,"No","No",55.3662983553805,"Yes"
"91","SMC00318",2021,0.34085135,94.5920726773226,"DS_Mag_50","HB",0.44085135,17.8,"NAT",-11.2137267672896,1.96772076875167,"No","No",97.9197825853081,"Yes"
"92","412M08646",2019,0.63867762,1.13202347652348,"DS_Mag_50","HB",0.73867762,370.13,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"93","SMC12862",2019,0.36552573,22.6159293206793,"DS_Mag_50","HB",0.46552573,1.11,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Yes"
"94","SMC04121",2012,0.51538713,2.74308608058608,"DS_Mag_50","NAT",0.61538713,337.21,"NAT",-11.2137267672896,1.96772076875167,"No","No",28.2661677051253,"Yes"
"95","SMC04880",2012,0.9317443,1.17362454212454,"DS_Mag_50","NAT",1.0317443,99.69,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"96","901M14134",2016,0.66986137,0.710446137196138,"DS_Mag_50","NAT",0.76986137,378.64,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"97","ME-VR2",2014,0.74366628,3.13886163836162,"DS_Mag_50","SB1",0.84366628,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",37.311006490278,"Yes"
"98","SMC00236",2008,0.4213124,4.40859865134864,"DS_Mag_50","HB",0.5213124,301.68,"NAT",-11.2137267672896,1.96772076875167,"No","No",55.3662983553805,"Yes"
"99","SMC00345",2011,0.5701193,1.3599875957376,"DS_Mag_50","NAT",0.6701193,566.18,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"100","SMC02988",2014,0.64388338,1.12975582750583,"DS_Mag_50","HB",0.74388338,344.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"101","SGLT506",2014,0.59411984,8.45199225774225,"DS_Mag_50","SB2",0.69411984,7.81,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Yes"
"102","SMC06216",2014,0.88672086,-1.53748817848818,"DS_Mag_50","NAT",0.98672086,156.1,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"103","SMC07085",2011,0.46263341,2.49595596070596,"DS_Mag_50","HB",0.56263341,501.61,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Yes"
"104","402M00042",2017,0.66807478,1.06080627705628,"DS_Mag_50","NAT",0.76807478,231.9,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"105","402M00009",2015,0.28871308,1.33734315684316,"DS_Mag_50","NAT",0.38871308,2390.56,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"106","412WE0552",2021,0.79815883,1.06290268065268,"DS_Mag_50","NAT",0.89815883,99.73,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"107","906M23361",2019,0.68469947,12.8206654179154,"DS_Mag_50","NAT",0.78469947,81.51,"NAT",-11.2137267672896,1.96772076875167,"No","No",84.6519606852698,"Yes"
"108","909WE1014",2021,0.97706517,1.15457034632035,"DS_Mag_50","NAT",1.07706517,99.6,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"109","402M00127",2019,0.65418093,3.10044846819847,"DS_Mag_50","NAT",0.75418093,41.93,"NAT",-11.2137267672896,1.96772076875167,"No","No",36.5343178919202,"Yes"
"110","404M07372",2019,0.52934004,-12.3148715451215,"DS_Mag_50","NAT",0.62934004,65.94,"NAT",-11.2137267672896,1.96772076875167,"No","No",8.94158557640916,"Yes"
"111","802M17015",2020,0.95669495,-0.303796953046953,"DS_Mag_50","NAT",1.05669495,1194.88,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"112","SMC04972",2013,1.02411409,-0.421350649350649,"DS_Mag_50","SB1",1.12411409,835.41,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"113","402SNPMCR",2014,0.98187753,1.22914552114552,"DS_Mag_50","NAT",1.08187753,100.07,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"114","404M07368",2018,0.46191342,-12.1975779220779,"DS_Mag_50","NAT",0.56191342,91.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",8.06595506971516,"Yes"
"115","904M21713",2015,0.50790164,0.762981268731267,"DS_Mag_50","HB",0.60790164,1525.59,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"116","ME-VR2",2013,0.77402404,3.13886163836162,"DS_Mag_50","SB1",0.87402404,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",37.311006490278,"Yes"
"117","SMC01257",2011,0.68267913,1.00635572760573,"DS_Mag_50","SB2",0.78267913,150.05,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"118","801M12625",2015,0.39757171,-8.69349966699967,"DS_Mag_50","HB",0.49757171,200.49,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"119","SMC01912",2012,0.40445942,5.32226207126207,"DS_Mag_50","HB",0.50445942,256.09,"NAT",-11.2137267672896,1.96772076875167,"No","No",63.0284878421054,"Yes"
"120","SMC02206",2011,0.52646484,0.342031218781219,"DS_Mag_50","SB2",0.62646484,3230.7,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"121","SMC02417",2011,0.5792463,0.762981268731267,"DS_Mag_50","HB",0.6792463,1024.93,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"122","SMC02563",2010,0.50213021,1.1392678987679,"DS_Mag_50","SB2",0.60213021,1016.44,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"123","SMC05524",2011,0.63736343,3.42300133200134,"DS_Mag_50","SB2",0.73736343,57.55,"NAT",-11.2137267672896,1.96772076875167,"No","No",42.5147530514925,"Yes"
"124","412M08638",2017,0.99199514,1.04437437562438,"DS_Mag_50","NAT",1.09199514,99.58,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"125","412M08640",2018,0.3487884,18.3634537962038,"DS_Mag_50","HB",0.4487884,32.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",89.284582352594,"Yes"
"126","403M01625",2020,0.95499837,6.70630103230104,"DS_Mag_50","NAT",1.05499837,100.06,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",70.6586274717747,"Yes"
"127","SMC01726",2019,0.42642806,45.3482225274725,"DS_Mag_50","HB",0.52642806,61.72,"NAT",-11.2137267672896,1.96772076875167,"No","No",95.6608646181014,"Yes"
"128","412M08599",2018,0.58561792,15.5684452214452,"DS_Mag_50","SB2",0.68561792,47.08,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.3608395651405,"Yes"
"129","SMC00473",2022,0.76064224,0.490222527472528,"DS_Mag_50","NAT",0.86064224,99.95,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"130","907M23362",2017,0.8851193,0.24401615051615,"DS_Mag_50","NAT",0.9851193,98.35,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"131","SMC03222",2012,0.58573482,1.9488499000999,"DS_Mag_50","HB",0.68573482,322.75,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"132","SMC04175",2009,0.8362015,3.13876423576423,"DS_Mag_50","NAT",0.9362015,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.3090611161317,"Yes"
"133","403M05795",2017,0.87747204,6.47824991674993,"DS_Mag_50","NAT",0.97747204,100.03,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",69.6257354372204,"Yes"
"134","404M04599",2016,1.02408172,5.83864901764901,"DS_Mag_50","NAT",1.12408172,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",66.2983549310181,"Yes"
"135","404M07346",2015,0.65191934,1.45094413919414,"DS_Mag_50","NAT",0.75191934,212.96,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"136","408M03019",2015,0.71478848,3.66309515484516,"DS_Mag_50","SB0",0.81478848,99.92,"NAT",-11.2137267672896,1.96772076875167,"No","No",46.2825647281105,"Yes"
"137","906M23318",2015,0.40645762,11.4625168165168,"DS_Mag_50","NAT",0.50645762,64.03,"NAT",-11.2137267672896,1.96772076875167,"No","No",82.8334317824834,"Yes"
"138","SMC00476",2009,1.0184354,2.32550524475524,"DS_Mag_50","NAT",1.1184354,100.19,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",15.3852362539491,"Yes"
"139","SMC01452",2010,0.39455766,1.13202347652348,"DS_Mag_50","HB",0.49455766,1643.08,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"140","SMC04399",2009,0.64968236,8.85889618714618,"DS_Mag_50","NAT",0.74968236,47.3,"NAT",-11.2137267672896,1.96772076875167,"No","No",77.7881947459015,"Yes"
"141","SMC06302",2012,0.53709324,0.342031218781219,"DS_Mag_50","SB2",0.63709324,3064.05,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"142","SMC11727",2010,0.90018908,0.769275308025308,"DS_Mag_50","NAT",1.00018908,100.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"143","911M24945",2017,0.74180933,0.448547202797203,"DS_Mag_50","NAT",0.84180933,100.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"144","SMC13214",2013,0.45440705,15.0697981185481,"DS_Mag_50","SB2",0.55440705,2.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",86.9426202443298,"Yes"
"145","405PS0030",2021,0.71424503,-7.2275929070929,"DS_Mag_50","NAT",0.81424503,21.03,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"146","403M01629",2020,0.83371596,2.17547111222111,"DS_Mag_50","NAT",0.93371596,100.21,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",9.54967143909033,"Yes"
"147","404M07376",2019,0.96669337,6.13190501165501,"DS_Mag_50","NAT",1.06669337,99.97,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",67.9101231181567,"Yes"
"148","SMC01384",2020,0.84384812,5.94519821844822,"DS_Mag_50","NAT",0.94384812,100.08,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",66.9023521764885,"Yes"
"149","SMC02127",2022,0.93729446,3.10044846819847,"DS_Mag_50","NAT",1.03729446,99.99,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",36.5343178919202,"Yes"
"150","SMC01174",2011,0.72977406,9.02237279387279,"DS_Mag_50","NAT",0.82977406,99.97,"NAT",-11.2137267672896,1.96772076875167,"No","No",78.1906510215586,"Yes"
"151","404M07349",2015,0.72473013,5.94519821844822,"DS_Mag_50","NAT",0.82473013,100.08,"NAT",-11.2137267672896,1.96772076875167,"No","No",66.9023521764885,"Yes"
"152","SMC04661",2011,0.90131737,3.05704353979353,"DS_Mag_50","NAT",1.00131737,100.1,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",35.6332108739096,"Yes"
"153","ME-VR2",2011,0.80699718,3.13886163836162,"DS_Mag_50","SB1",0.90699718,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.311006490278,"Yes"
