"","hydro.endpoints","masterid","sampleyear","ChannelType","PredCSCI","csci_Incr","MetricValue","RelChangeInDeltaINC","BioStatus","FlowStatus2","BOFlows","Action","Standard","Modified","RefImprovement","INCImprovement","BOImprovement","MaxScore"
"71","DS_Mag_50","904M21713",2015,"HB",0.512509470647133,0.612509470647133,0.50790164,2.62,"Below Best Observed","Within Reference","Within BO","Non-flow related",1257.96156583932,3729.54326191835,"Non-flow related","Non-flow related","Non-flow related",0.50790164
"72","DS_Mag_50","SMC01257",2011,"SB2",0.611774699556331,0.711774699556331,0.68267913,100.36,"Below Best Observed","Within Reference","Within BO","Non-flow related",929.555663043141,1437.5705753252,"Non-flow related","Non-flow related","Non-flow related",0.68267913
"73","DS_Mag_50","801M12625",2015,"HB",0.467231681978767,0.567231681978767,0.39757171,99.96,"Below Best Observed","Within Reference","Within BO","Non-flow related",23.2399517846891,180.838398986452,"Non-flow related","Non-flow related","Non-flow related",0.39757171
"74","DS_Mag_50","SMC01912",2012,"HB",0.507488738682361,0.607488738682361,0.40445942,45.85,"Below Best Observed","Within Reference","Within BO","Non-flow related",94.6727208317815,448.990210838467,"Non-flow related","Non-flow related","Non-flow related",0.40445942
"75","DS_Mag_50","SMC02206",2011,"SB2",0.613029539140599,0.713029539140599,0.52646484,99.41,"Below Best Observed","Within Reference","Within BO","Non-flow related",2929.25341752246,4423.98164293392,"Non-flow related","Non-flow related","Non-flow related",0.52646484
"76","DS_Mag_50","SMC02417",2011,"HB",0.512509470647133,0.612509470647133,0.5792463,2.62,"Below Best Observed","Within Reference","Within BO","Non-flow related",1257.96156583932,3729.54326191835,"Non-flow related","Non-flow related","Non-flow related",0.5792463
"77","DS_Mag_50","SMC05524",2011,"SB2",0.60365889369385,0.70365889369385,0.63736343,99.91,"Below Best Observed","Within Reference","Within BO","Non-flow related",202.687360564537,352.042755756644,"Non-flow related","Non-flow related","Non-flow related",0.63736343
"78","DS_Mag_50","412M08638",2017,"NAT",0.833362267406652,0.933362267406652,0.99199514,0,"Above Reference","Within Reference",NA,"No Action/Protect",892.076464699689,NA,"No Action","No Action","No Action",0.99199514
"79","DS_Mag_50","412M08640",2018,"HB",0.434864064248764,0.534864064248764,0.3487884,84.3,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",43.5781934111671,59.1133023812637,"10 - 50%","Over 50%",NA,0.3487884
"80","DS_Mag_50","403M01625",2020,"NAT",0.814136659096563,0.914136659096562,0.95499837,82.16,"Above Reference","Within Reference",NA,"No Action/Protect",54.4963808516776,NA,"No Action","No Action","No Action",0.95499837
"81","DS_Mag_50","SMC01726",2019,"HB",0.417027987240701,0.517027987240701,0.42642806,93.65,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",77.1523737724296,35.5681520952748,"Over 50%","Over 50%","10 - 50%",0.42642806
"82","DS_Mag_50","907M23362",2017,"NAT",0.833734368707088,0.933734368707088,0.8851193,0,"Above Reference","Within Reference",NA,"No Action/Protect",4146.02730680241,NA,"No Action","No Action","No Action",0.8851193
"83","DS_Mag_50","SMC03222",2012,"HB",0.513040986941821,0.613040986941821,0.58573482,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",431.646505120414,1399.27902425423,"Non-flow related","Non-flow related","Non-flow related",0.58573482
"84","DS_Mag_50","SMC04175",2009,"NAT",0.829491089551631,0.929491089551631,0.8362015,61.81,"Above Reference","Within Reference",NA,"No Action/Protect",230.097822125882,NA,"No Action","No Action","No Action",0.8362015
"85","DS_Mag_50","403M05795",2017,"NAT",0.815402103213617,0.915402103213617,0.87747204,81.5,"Above Reference","Within Reference",NA,"No Action/Protect",59.9350521679442,NA,"No Action","No Action","No Action",0.87747204
"86","DS_Mag_50","404M04599",2016,"NAT",0.818763859296882,0.918763859296882,1.02408172,79.47,"Above Reference","Within Reference",NA,"No Action/Protect",77.4553043453151,NA,"No Action","No Action","No Action",1.02408172
"87","DS_Mag_50","404M07346",2015,"NAT",0.832937950607939,0.932937950607939,0.65191934,17.23,"Below Best Observed","Within Reference",NA,"Non-flow related",614.086235578879,NA,"Non-flow related","Non-flow related","Non-flow related",0.65191934
"88","DS_Mag_50","408M03019",2015,"SB0",0.595082730200732,0.695082730200732,0.71478848,61.7,"Below Best Observed","Within Reference","Within BO","Non-flow related",182.848027308801,218.905253125689,"Non-flow related","Non-flow related","Non-flow related",0.71478848
"89","DS_Mag_50","906M23318",2015,"NAT",0.781690071706589,0.881690071706589,0.40645762,89.51,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",9.60979556431942,NA,"Less than 10%","Over 50%",NA,0.40645762
"90","DS_Mag_50","SMC00476",2009,"NAT",0.831487134119941,0.931487134119941,1.0184354,48.59,"Above Reference","Within Reference",NA,"No Action/Protect",345.537261517305,NA,"No Action","No Action","No Action",1.0184354
"91","DS_Mag_50","SMC01452",2010,"HB",0.512819972240144,0.612819972240144,0.39455766,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",815.26303109394,2481.10351705161,"Non-flow related","Non-flow related","Non-flow related",0.39455766
"92","DS_Mag_50","SMC04399",2009,"NAT",0.800685107197212,0.900685107197212,0.64968236,86.47,"Below Best Observed","Within Reference",NA,"Non-flow related",16.9557940972046,NA,"Non-flow related","Non-flow related","Non-flow related",0.64968236
"93","DS_Mag_50","SMC06302",2012,"SB2",0.613029539140599,0.713029539140599,0.53709324,99.41,"Below Best Observed","Within Reference","Within BO","Non-flow related",2929.25341752246,4423.98164293392,"Non-flow related","Non-flow related","Non-flow related",0.53709324
"94","DS_Mag_50","SMC11727",2010,"NAT",0.833559121776422,0.933559121776422,0.90018908,0,"Above Reference","Within Reference",NA,"No Action/Protect",1246.8510266526,NA,"No Action","No Action","No Action",0.90018908
"95","DS_Mag_50","911M24945",2017,"NAT",0.833697234734715,0.933697234734715,0.74180933,0,"Below Best Observed","Within Reference",NA,"Non-flow related",2209.90012184029,NA,"Non-flow related","Non-flow related","Non-flow related",0.74180933
"96","DS_Mag_50","SMC13214",2013,"SB2",0.511950574862006,0.611950574862006,0.45440705,93.83,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",31.2466411134509,2.67841300223263,"10 - 50%","Over 50%",NA,0.45440705
"97","DS_Mag_50","405PS0030",2021,"NAT",0.811900503977075,0.911900503977075,0.71424503,86.89,"Below Best Observed","Within Reference",NA,"Non-flow related",48.2355873626792,NA,"Non-flow related","Non-flow related","Non-flow related",0.71424503
"98","DS_Mag_50","403M01629",2020,"NAT",0.83178785484718,0.93178785484718,0.83371596,45.05,"Above Reference","Within Reference",NA,"No Action/Protect",376.264305497739,NA,"No Action","No Action","No Action",0.83371596
"99","DS_Mag_50","404M07376",2019,"NAT",0.817257603216947,0.917257603216947,0.96669337,80.4,"Above Reference","Within Reference",NA,"No Action/Protect",68.9685728045444,NA,"No Action","No Action","No Action",0.96669337
"100","DS_Mag_50","SMC01384",2020,"NAT",0.818223610587953,0.918223610587953,0.84384812,79.9,"Above Reference","Within Reference",NA,"No Action/Protect",74.2749695337856,NA,"No Action","No Action","No Action",0.84384812
"101","DS_Mag_50","SMC01174",2011,"NAT",0.79956641307694,0.89956641307694,0.72977406,86.67,"Below Best Observed","Within Reference",NA,"Non-flow related",14.8366690296823,NA,"Non-flow related","Non-flow related","Non-flow related",0.72977406
"102","DS_Mag_50","404M07349",2015,"NAT",0.818223610587953,0.918223610587953,0.72473013,79.9,"Below Best Observed","Within Reference",NA,"Non-flow related",74.2749695337856,NA,"Non-flow related","Non-flow related","Non-flow related",0.72473013
"103","DS_Mag_50","SMC04239",2009,"NAT",0.833679328653716,0.933679328653716,0.79716481,0,"Above Reference","Within Reference",NA,"No Action/Protect",1943.24401489536,NA,"No Action","No Action","No Action",0.79716481
"104","DS_Mag_50","SMC02484",2013,"HB",0.434963236305133,0.534963236305133,0.52408964,94.47,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",80.1290869984553,43.9626842853994,"Over 50%","Over 50%","10 - 50%",0.52408964
"105","DS_Mag_50","SMC02591",2011,"NAT",0.833372676842161,0.933372676842161,0.89992222,0,"Above Reference","Within Reference",NA,"No Action/Protect",903.963545452721,NA,"No Action","No Action","No Action",0.89992222
"106","DS_Mag_50","SMC04661",2014,"NAT",0.829719206309382,0.929719206309382,0.93130374,60.84,"Above Reference","Within Reference",NA,"No Action/Protect",238.921976381912,NA,"No Action","No Action","No Action",0.93130374
"107","DS_Mag_50","SMC18046",2013,"SB1",0.841865144448451,0.941865144448451,0.81859748,99.99,"Above Reference","Within Reference",NA,"No Action/Protect",234.17721630265,NA,"No Action","No Action","No Action",0.81859748
"108","DS_Mag_50","403M01619",2021,"NAT",0.833729307245474,0.933729307245474,0.6893958,0,"Below Best Observed","Within Reference",NA,"Non-flow related",3458.71413808639,NA,"Non-flow related","Non-flow related","Non-flow related",0.6893958
"109","DS_Mag_50","403M05832",2019,"NAT",0.833695656672528,0.933695656672528,0.85937319,0,"Above Reference","Within Reference",NA,"No Action/Protect",2181.31775129427,NA,"No Action","No Action","No Action",0.85937319
"110","DS_Mag_50","902M20301",2020,"NAT",0.824542717416953,0.924542717416953,0.83320275,73.73,"Above Reference","Within Reference",NA,"No Action/Protect",126.691099595047,NA,"No Action","No Action","No Action",0.83320275
"111","DS_Mag_50","907M23408",2020,"NAT",0.833715007364489,0.933715007364489,0.36103358,0,"Below Best Observed","Within Reference",NA,"Non-flow related",2658.53613890561,NA,"Non-flow related","Non-flow related","Non-flow related",0.36103358
"112","DS_Mag_50","403M01560",2019,"NAT",0.830257824897228,0.930257824897228,0.44703778,57.8,"Below Best Observed","Within Reference",NA,"Non-flow related",262.946717444074,NA,"Non-flow related","Non-flow related","Non-flow related",0.44703778
"113","DS_Mag_50","SMC03304",2011,"HB",0.50918999440712,0.60918999440712,0.591619,38.99,"Below Best Observed","Within Reference","Within BO","Non-flow related",119.530652210931,519.091254942329,"Non-flow related","Non-flow related","Non-flow related",0.591619
"114","DS_Mag_50","SMC05296",2012,"NAT",0.810825376427801,0.910825376427801,0.93834398,83.55,"Above Reference","Within Reference",NA,"No Action/Protect",42.3803048841462,NA,"No Action","No Action","No Action",0.93834398
"115","DS_Mag_50","901M14138",2017,"NAT",0.833719610584398,0.933719610584398,0.80679255,0,"Above Reference","Within Reference",NA,"No Action/Protect",2840.36706594178,NA,"No Action","No Action","No Action",0.80679255
"116","DS_Mag_50","404M07362",2017,"NAT",0.832937950607939,0.932937950607939,0.38852855,17.23,"Below Best Observed","Within Reference",NA,"Non-flow related",614.086235578879,NA,"Non-flow related","Non-flow related","Non-flow related",0.38852855
"117","DS_Mag_50","801M12611",2015,"SB2",0.511950574862006,0.611950574862006,0.46342111,93.83,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",31.2466411134509,2.67841300223263,"10 - 50%","Over 50%",NA,0.46342111
"118","DS_Mag_50","902M18864",2015,"NAT",0.830994211199025,0.930994211199025,1.06967041,52.91,"Above Reference","Within Reference",NA,"No Action/Protect",306.080985473709,NA,"No Action","No Action","No Action",1.06967041
"119","DS_Mag_50","907BCT",2014,"NAT",0.832926453581321,0.932926453581321,0.9583806,17.81,"Above Reference","Within Reference",NA,"No Action/Protect",609.566706049738,NA,"No Action","No Action","No Action",0.9583806
"120","DS_Mag_50","SMC02270",2010,"HB",0.505464178675805,0.605464178675805,0.63508318,100.2,"Below Best Observed","Within Reference","Within BO","Non-flow related",385.740260643012,1006.90174044025,"Non-flow related","Non-flow related","Non-flow related",0.63508318
