"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","CSCI.Threshold","CSCI.Level","Spring recession magnitude","Spring recession magnitude Stress Level","Dry-season median baseflow","Dry-season median baseflow Stress Level","Fall pulse magnitude","Fall pulse magnitude Stress Level","Wet-season low baseflow","Wet-season low baseflow Stress Level","Wet-season median baseflow","Wet-season median baseflow Stress Level","Magnitude of largest annual storm","Magnitude of largest annual storm Stress Level","2-year flood magnitude","2-year flood magnitude Stress Level","5-year flood magnitude","5-year flood magnitude Stress Level","10-year flood magnitude","10-year flood magnitude Stress Level"
"11","SMC02536",34.26861,-118.6736,408,"Ventura","Calleguas",0.60351498,2011-06-29,2011,1,0.60351498,"Hard Bottom",0.79,"Unhealthy Biology",214.111738927739,"Likely Stressed",1.70030652680653,"Unlikely Stressed",25.0936193392372,"Likely Stressed",2.02788185148185,"Likely Stressed",10.6239775224775,"Likely Stressed",4.73949995454381,"Unlikely Stressed",-28.6553146853148,"Likely Stressed",10.4220188478188,"Unlikely Stressed",66.5729383949384,"Likely Stressed"
"12","SMC08335",34.34583,-119.29948,402,"Ventura","Ventura",0.79271796,2010-07-07,2010,1,0.79271796,"Natural",0.79,"Healthy Biology",101.696027306028,"Likely Stressed",3.13886163836162,"Likely Stressed",10.424646183834,"Unlikely Stressed",4.70977765567765,"Likely Stressed",4.00893922743922,"Likely Stressed",-435.803887615514,"Likely Stressed",-1626.9310909091,"Likely Stressed",-1551.46350732601,"Likely Stressed",1163.91516483516,"Likely Stressed"
"13","SMC20497",34.31227,-119.29853,402,"Ventura","Ventura",0.67961298,2013-07-16,2013,1,0.67961298,"Natural",0.79,"Unhealthy Biology",169.764948717949,"Likely Stressed",8.85889618714618,"Likely Stressed",15.7441326087388,"Unlikely Stressed",-1.78898881118881,"Likely Stressed",-0.355147685647679,"Likely Stressed",-495.645833256169,"Likely Stressed",-1543.64476456877,"Likely Stressed",-1541.16720829171,"Likely Stressed",-101.532232933733,"Likely Stressed"
"14","SMC20032",33.87664,-118.10774,405,"Los Angeles","San Gabriel",0.37813902,2019-07-22,2019,1,0.37813902,"Hard Bottom",0.79,"Unhealthy Biology",-132.915457042957,"Likely Stressed",22.6159293206793,"Very Likely Stressed",375.938941434555,"Very Likely Stressed",-19.9801487512487,"Likely Stressed",-44.0551388611387,"Likely Stressed",-1053.8249808532,"Likely Stressed",-410.214877455878,"Likely Stressed",-2296.03028205128,"Likely Stressed",-3868.55909723609,"Likely Stressed"
"15","SMC19697",34.34807,-119.30096,402,"Ventura","Ventura",0.77587468,2013-06-24,2013,1,0.77587468,"Natural",0.79,"Unhealthy Biology",101.696027306028,"Likely Stressed",3.13886163836162,"Likely Stressed",10.424646183834,"Unlikely Stressed",4.70977765567765,"Likely Stressed",4.00893922743922,"Likely Stressed",-435.803887615514,"Likely Stressed",-1626.9310909091,"Likely Stressed",-1551.46350732601,"Likely Stressed",1163.91516483516,"Likely Stressed"
"16","SMC21921",33.8878,-117.50574,801,"Riverside","Middle Santa Ana",0.32514129,2013-06-13,2013,2,0.3158459,"Hard Bottom",0.79,"Unhealthy Biology",95.1436396936397,"Likely Stressed",2.49595596070596,"Likely Stressed",47.2665179171535,"Likely Stressed",-1.85258285048285,"Likely Stressed",15.8373964368964,"Likely Stressed",-55.9190197212832,"Likely Stressed",73.4874663669665,"Likely Stressed",-16.9723305028306,"Likely Stressed",-325.481363603064,"Likely Stressed"
"17","412M08630",34.05961,-118.08902,412,"Los Angeles","Los Angeles",0.31807442,2017-05-17,2017,1,0.31807442,"Hard Bottom",0.79,"Unhealthy Biology",441.10798851149,"Likely Stressed",52.4084040126539,"Very Likely Stressed",666.627743860659,"Very Likely Stressed",33.5178752247752,"Very Likely Stressed",69.9391276223776,"Likely Stressed",-52.4342874075139,"Likely Stressed",516.897028305028,"Likely Stressed",312.215783349983,"Likely Stressed",-376.264663569763,"Likely Stressed"
"18","902M18893",33.45304,-117.17403,902,"Riverside","Northern San Diego",0.80896179,2017-05-18,2017,1,0.80896179,"Natural",0.79,"Healthy Biology",157.568757409257,"Likely Stressed",5.23030094905095,"Likely Stressed",-23.452681484176,"Unlikely Stressed",-0.433032051282052,"Unlikely Stressed",-1.08153846153846,"Likely Stressed",-2983.05644789631,"Likely Stressed",-1302.05730636031,"Likely Stressed",-4838.06585414586,"Likely Stressed",-5361.51387296037,"Likely Stressed"
"19","SMC00190",34.01488,-118.04783,405,"Los Angeles","San Gabriel",0.41560858,2008-06-25,2008,1,0.41560858,"Hard Bottom",0.79,"Unhealthy Biology",388.811283716284,"Likely Stressed",3.0057823010323,"Likely Stressed",56.0811025507963,"Likely Stressed",17.1420565268066,"Likely Stressed",69.365586996337,"Likely Stressed",118.866999892915,"Unlikely Stressed",689.541481851482,"Likely Stressed",2009.53706606727,"Likely Stressed",3396.93874844203,"Likely Stressed"
"20","SMC01158",32.96281,-117.16676,906,"San Diego","Central San Diego",0.49183638,2009-05-20,2009,1,0.49183638,"Natural",0.79,"Unhealthy Biology",151.264413419913,"Likely Stressed",2.5736192973693,"Likely Stressed",32.0803262372351,"Likely Stressed",7.89872427572428,"Likely Stressed",10.2429685314685,"Likely Stressed",83.1963381425267,"Unlikely Stressed",496.054886779887,"Likely Stressed",557.293331002332,"Likely Stressed",838.578875591076,"Likely Stressed"
"21","SMC08094",33.81951,-117.8536,801,"Orange","Lower Santa Ana",0.49320633,2012-06-28,2012,1,0.49320633,"Soft Bottom (2)",0.79,"Unhealthy Biology",-1049.80261938062,"Likely Stressed",15.0697981185481,"Likely Stressed",-215.060126034626,"Very Likely Stressed",-89.1573738761239,"Very Likely Stressed",-360.970701215451,"Very Likely Stressed",-44933.6480255651,"Very Likely Stressed",-7943.91201298701,"Very Likely Stressed",-18874.0226619571,"Very Likely Stressed",-19120.433544622,"Very Likely Stressed"
"22","SMC09118",33.80876,-117.86259,801,"Orange","Lower Santa Ana",0.38672401,2013-05-22,2013,1,0.38672401,"Soft Bottom (2)",0.79,"Unhealthy Biology",-1049.80261938062,"Likely Stressed",15.0697981185481,"Likely Stressed",-215.060126034626,"Very Likely Stressed",-89.1573738761239,"Very Likely Stressed",-360.970701215451,"Very Likely Stressed",-44933.6480255651,"Very Likely Stressed",-7943.91201298701,"Very Likely Stressed",-18874.0226619571,"Very Likely Stressed",-19120.433544622,"Very Likely Stressed"
"23","SMC02152",34.09801,-118.7217,404,"Los Angeles","Santa Monica Bay",0.53676253,2010-07-14,2010,1,0.53676253,"Natural",0.79,"Unhealthy Biology",370.862154845154,"Likely Stressed",-9.69973359973361,"Unlikely Stressed",28.909289371875,"Likely Stressed",12.0585156343656,"Likely Stressed",31.3190961538462,"Likely Stressed",-125.563446175302,"Likely Stressed",-487.4171999667,"Likely Stressed",-265.593719314019,"Likely Stressed",-336.647061971362,"Likely Stressed"
"24","SMC13391",34.41791,-119.26998,402,"Ventura","Ventura",0.88988338,2012-06-21,2012,1,0.88988338,"Natural",0.79,"Healthy Biology",72.9969925074925,"Likely Stressed",3.13876423576423,"Likely Stressed",11.1909508936911,"Unlikely Stressed",1.07818235098235,"Unlikely Stressed",19.7484941724942,"Likely Stressed",-66.391092833515,"Likely Stressed",-98.4056327006326,"Likely Stressed",-89.846939060939,"Likely Stressed",-24.2012617382618,"Likely Stressed"
"25","SMC03110",32.81105,-117.07335,907,"San Diego","Mission Bay and San Diego River",0.60435928,2011-07-26,2011,1,0.60435928,"Natural",0.79,"Unhealthy Biology",-14.2129996669997,"Likely Stressed",0.668890193140191,"Unlikely Stressed",-8.53943253551881,"Unlikely Stressed",0.512156293706293,"Unlikely Stressed",-9.4189134199134,"Likely Stressed",-1024.4672257272,"Likely Stressed",-391.556302197802,"Likely Stressed",-2662.70552747253,"Likely Stressed",-2958.38658917749,"Likely Stressed"
"26","SMC04682",32.97115,-116.64814,907,"San Diego","Mission Bay and San Diego River",1.07793013,2011-07-25,2011,1,1.07793013,"Natural",0.79,"Healthy Biology",121.060077755578,"Likely Stressed",3.01513653013653,"Likely Stressed",14.6858570913632,"Unlikely Stressed",1.35659418914419,"Unlikely Stressed",4.44248018648019,"Likely Stressed",-95.7568085902184,"Likely Stressed",-162.602603063603,"Likely Stressed",-117.807617982018,"Likely Stressed",-485.316356343655,"Likely Stressed"
"27","SMC08150",32.83731,-117.01975,907,"San Diego","Mission Bay and San Diego River",0.73153765,2014-07-08,2014,1,0.73153765,"Natural",0.79,"Unhealthy Biology",156.214183150183,"Likely Stressed",0.0441269563769564,"Unlikely Stressed",74.0364419632918,"Likely Stressed",0.837859024309024,"Unlikely Stressed",-2.97123934398934,"Likely Stressed",-19.8614430305131,"Likely Stressed",110.634621545122,"Likely Stressed",128.633388278388,"Unlikely Stressed",-176.365327872128,"Likely Stressed"
"28","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana",0.73132663,2018-06-06,2018,1,0.73132663,"Natural",0.79,"Unhealthy Biology",237.025607059607,"Likely Stressed",1.81701332001332,"Unlikely Stressed",49.4735095575254,"Likely Stressed",13.4550271561772,"Likely Stressed",51.1645007492508,"Likely Stressed",345.042669878639,"Unlikely Stressed",733.462221445219,"Likely Stressed",2037.82541588412,"Likely Stressed",4430.15114841825,"Likely Stressed"
"29","SMC04532",34.15595,-118.28771,412,"Los Angeles","Los Angeles",0.64466926,2012-07-11,2012,1,0.64466926,"Hard Bottom",0.79,"Unhealthy Biology",301.846024309025,"Likely Stressed",15.4134874292374,"Likely Stressed",85.7121114436754,"Likely Stressed",0.439913403263403,"Unlikely Stressed",-9.8189498834499,"Likely Stressed",-1677.08970593345,"Likely Stressed",-363.069322344322,"Likely Stressed",-2010.1831035631,"Likely Stressed",-3801.76453896104,"Likely Stressed"
"30","905M21721",33.00843,-117.16525,905,"San Diego","Central San Diego",0.67998428,2015-06-26,2015,1,0.67998428,"Natural",0.79,"Unhealthy Biology",126.933952380952,"Likely Stressed",1.83007267732268,"Unlikely Stressed",34.0352044918132,"Likely Stressed",7.18741423576424,"Likely Stressed",14.0443226773227,"Likely Stressed",80.2216436142149,"Unlikely Stressed",477.626798867799,"Likely Stressed",551.235202231104,"Likely Stressed",895.266941958043,"Likely Stressed"
"31","906M21770",32.90376,-117.22665,906,"San Diego","Central San Diego",0.61784957,2018-05-29,2018,1,0.61784957,"Hard Bottom",0.79,"Unhealthy Biology",221.951695138195,"Likely Stressed",16.4486207958708,"Likely Stressed",116.48777439387,"Likely Stressed",12.9612424908425,"Likely Stressed",27.707657092907,"Likely Stressed",50.6132197187472,"Unlikely Stressed",288.948968864469,"Likely Stressed",374.81854971695,"Likely Stressed",-312.153297735598,"Likely Stressed"
"32","SMC01772",34.11001,-118.1228,412,"Los Angeles","Los Angeles",0.5946632,2012-07-11,2012,1,0.5946632,"Hard Bottom",0.79,"Unhealthy Biology",395.849666999667,"Likely Stressed",50.3184219946719,"Very Likely Stressed",117.454561937602,"Likely Stressed",35.575171028971,"Very Likely Stressed",68.5187858807858,"Likely Stressed",-100.902472904059,"Likely Stressed",350.772768398268,"Likely Stressed",306.492495704296,"Likely Stressed",-36.700410955711,"Likely Stressed"
"33","SMC01824",34.09116,-117.75598,405,"Los Angeles","San Gabriel",0.60387461,2012-06-21,2012,1,0.60387461,"Hard Bottom",0.79,"Unhealthy Biology",235.309578255078,"Likely Stressed",2.78732467532468,"Likely Stressed",44.1503102117192,"Likely Stressed",2.67046258741259,"Likely Stressed",12.4427177822178,"Likely Stressed",-102.672559322027,"Likely Stressed",-34.979111055611,"Likely Stressed",-104.908174392274,"Likely Stressed",-1125.01956576756,"Likely Stressed"
"34","SMC03646",33.9784,-118.1691,412,"Los Angeles","Los Angeles",0.53242816,2013-06-05,2013,1,0.53242816,"Hard Bottom",0.79,"Unhealthy Biology",372.866616716617,"Likely Stressed",30.8408154345655,"Very Likely Stressed",121.493013872442,"Likely Stressed",4.0302655011655,"Likely Stressed",-13.9293102730603,"Likely Stressed",-4185.450596909,"Likely Stressed",-627.160135364634,"Likely Stressed",-3128.70856610056,"Likely Stressed",-7159.53343373293,"Likely Stressed"
"35","SMC06863",34.49417,-119.30534,402,"Ventura","Ventura",0.9775222,2011-07-21,2011,1,0.9775222,"Natural",0.79,"Healthy Biology",125.147944721945,"Likely Stressed",0.836883283383284,"Unlikely Stressed",18.6807825026271,"Likely Stressed",3.1408817016317,"Likely Stressed",13.0273955211455,"Likely Stressed",-14.9735768550484,"Likely Stressed",-153.714181152181,"Likely Stressed",127.646654412255,"Unlikely Stressed",136.423777422577,"Likely Stressed"
"36","SMC16045",33.8819,-117.52249,801,"Riverside","Middle Santa Ana",0.50959439,2012-06-28,2012,1,0.50959439,"Hard Bottom",0.79,"Unhealthy Biology",95.1436396936397,"Likely Stressed",2.49595596070596,"Likely Stressed",47.2665179171535,"Likely Stressed",-1.85258285048285,"Likely Stressed",15.8373964368964,"Likely Stressed",-55.9190197212832,"Likely Stressed",73.4874663669665,"Likely Stressed",-16.9723305028306,"Likely Stressed",-325.481363603064,"Likely Stressed"
"37","402M00002",34.31063,-119.29916,402,"Ventura","Ventura",0.70665225,2015-08-13,2015,1,0.70665225,"Natural",0.79,"Unhealthy Biology",169.764948717949,"Likely Stressed",8.85889618714618,"Likely Stressed",15.7441326087388,"Unlikely Stressed",-1.78898881118881,"Likely Stressed",-0.355147685647679,"Likely Stressed",-495.645833256169,"Likely Stressed",-1543.64476456877,"Likely Stressed",-1541.16720829171,"Likely Stressed",-101.532232933733,"Likely Stressed"
"38","SMC01320",34.29856,-118.25082,412,"Los Angeles","Los Angeles",1.01914883,2022-06-22,2022,1,1.01914883,"Natural",0.79,"Healthy Biology",51.0800018315018,"Likely Stressed",-0.790368714618715,"Unlikely Stressed",2.97664287391353,"Unlikely Stressed",-2.67907447552448,"Likely Stressed",-0.477483183483181,"Likely Stressed",-97.1172213273382,"Likely Stressed",-57.3207066267066,"Likely Stressed",-68.7315616716617,"Likely Stressed",-165.091487812188,"Likely Stressed"
"39","SMC02656",34.07498,-117.87216,405,"Los Angeles","San Gabriel",0.46463614,2018-08-06,2018,1,0.46463614,"Hard Bottom",0.79,"Unhealthy Biology",67.9546208791209,"Likely Stressed",4.08904329004329,"Likely Stressed",36.1204166561943,"Likely Stressed",-0.753797236097237,"Likely Stressed",13.0281425241425,"Likely Stressed",-111.448939249462,"Likely Stressed",-199.844153180153,"Likely Stressed",-11.843031968032,"Likely Stressed",-509.701677655677,"Likely Stressed"
"40","801M16957",33.85539,-117.3551,801,"Riverside","Middle Santa Ana",0.48212764,2019-05-10,2019,1,0.48212764,"Natural",0.79,"Unhealthy Biology",127.12887046287,"Likely Stressed",1.20609981684982,"Unlikely Stressed",24.9740100111132,"Likely Stressed",2.70956368631369,"Likely Stressed",11.6469614552114,"Likely Stressed",37.2490707119968,"Unlikely Stressed",10.7111252081251,"Likely Stressed",-23.3804020979022,"Likely Stressed",149.019563436563,"Likely Stressed"
"41","802M17015",33.73057,-116.80939,802,"Riverside","San Jacinto",0.95649503,2020-06-08,2020,2,0.95669495,"Natural",0.79,"Healthy Biology",51.5292535797536,"Likely Stressed",-0.303796953046953,"Unlikely Stressed",10.1304479063665,"Unlikely Stressed",-1.34169458874459,"Likely Stressed",-2.24773501498502,"Likely Stressed",-545.258496722465,"Likely Stressed",-56.9353203463203,"Likely Stressed",-35.117732967033,"Likely Stressed",88.4933469863471,"Likely Stressed"
"42","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80096734,2018-06-21,2018,2,0.80928445,"Natural",0.79,"Healthy Biology",241.742914085914,"Likely Stressed",4.19168448218447,"Likely Stressed",33.3535601809204,"Likely Stressed",5.27821120546121,"Likely Stressed",30.321352980353,"Likely Stressed",-1.07090132154259,"Likely Stressed",-285.895498501499,"Likely Stressed",-47.0484943722944,"Likely Stressed",64.0822559107559,"Likely Stressed"
"43","412M08602",33.97131,-118.16996,412,"Los Angeles","Los Angeles",0.41044659,2015-09-30,2015,1,0.41044659,"Hard Bottom",0.79,"Unhealthy Biology",372.866616716617,"Likely Stressed",30.8408154345655,"Very Likely Stressed",121.493013872442,"Likely Stressed",4.0302655011655,"Likely Stressed",-13.9293102730603,"Likely Stressed",-4185.450596909,"Likely Stressed",-627.160135364634,"Likely Stressed",-3128.70856610056,"Likely Stressed",-7159.53343373293,"Likely Stressed"
"44","412M08616",34.18855,-118.61028,412,"Los Angeles","Los Angeles",0.48068983,2016-06-02,2016,1,0.48068983,"Hard Bottom",0.79,"Unhealthy Biology",361.025361471862,"Likely Stressed",3.32127322677323,"Likely Stressed",70.5982472073216,"Likely Stressed",10.1223596736597,"Likely Stressed",21.1580166500167,"Likely Stressed",0.912630578428676,"Unlikely Stressed",73.3742730602731,"Likely Stressed",137.32904955045,"Unlikely Stressed",128.304901189287,"Likely Stressed"
"45","SMC17056",34.4263,-118.5779,403,"Los Angeles","Santa Clara",0.72649786,2009-07-02,2009,1,0.72649786,"Natural",0.79,"Unhealthy Biology",1.84807542457547,"Likely Stressed",10.6977474192474,"Likely Stressed",20.1327146497885,"Likely Stressed",7.45385029970029,"Likely Stressed",9.47786305361304,"Likely Stressed",-929.290718763577,"Likely Stressed",-353.971951714952,"Likely Stressed",-1733.51076823177,"Likely Stressed",-1589.59581838162,"Likely Stressed"
"46","SMC04294",32.93776,-117.14172,906,"San Diego","Central San Diego",0.78366223,2013-07-11,2013,1,0.78366223,"Natural",0.79,"Unhealthy Biology",86.4534633699634,"Likely Stressed",1.39869272394273,"Unlikely Stressed",7.06978588123597,"Unlikely Stressed",1.97866318681319,"Likely Stressed",7.20273967698968,"Likely Stressed",-20.7283004002403,"Likely Stressed",44.0181100566101,"Likely Stressed",59.2300938727937,"Unlikely Stressed",-28.5126143856144,"Likely Stressed"
"47","412M08642",34.0472,-118.22979,412,"Los Angeles","Los Angeles",0.69076579,2018-06-20,2018,1,0.69076579,"Hard Bottom",0.79,"Unhealthy Biology",285.568251748252,"Likely Stressed",22.7544548784549,"Very Likely Stressed",128.051816846723,"Likely Stressed",-2.58751673326673,"Likely Stressed",-15.052140942391,"Likely Stressed",-4069.38439241382,"Likely Stressed",-631.680372127872,"Likely Stressed",-3023.73148618048,"Likely Stressed",-6878.42411621711,"Likely Stressed"
"48","404M04672",34.1868,-118.7893,404,"Ventura","Santa Monica Bay",0.7231196,2020-06-09,2020,1,0.7231196,"Natural",0.79,"Unhealthy Biology",876.145933066934,"Likely Stressed",13.157228021978,"Likely Stressed",136.975883357163,"Likely Stressed",29.7559135031635,"Very Likely Stressed",61.7637839660341,"Likely Stressed",441.90573620269,"Unlikely Stressed",966.287653346652,"Likely Stressed",2483.90294525474,"Likely Stressed",4682.14473533132,"Likely Stressed"
"49","SMC05968",34.23489,-117.80554,405,"Los Angeles","San Gabriel",0.92788204,2020-08-11,2020,1,0.92788204,"Natural",0.79,"Healthy Biology",0.097607725607736,"Likely Stressed",-7.2275929070929,"Unlikely Stressed",8.71108598570344,"Unlikely Stressed",-8.40095154845156,"Likely Stressed",-34.6422466699967,"Likely Stressed",-67.6645670291111,"Likely Stressed",-213.916558275058,"Likely Stressed",-205.04494991675,"Likely Stressed",-661.003635431235,"Likely Stressed"
"50","SMC06216",34.27407,-118.31518,412,"Los Angeles","Los Angeles",0.95120311,2020-07-28,2020,-1,0.96084854,"Natural",0.79,"Healthy Biology",33.4787755577756,"Likely Stressed",-1.53748817848818,"Unlikely Stressed",-4.2525061685026,"Unlikely Stressed",-3.5770644022644,"Likely Stressed",-8.15479070929069,"Likely Stressed",-217.922717875086,"Likely Stressed",-137.260870795871,"Likely Stressed",-425.097162071262,"Likely Stressed",-158.643444855145,"Likely Stressed"
"51","906M21758",32.94264,-117.10754,906,"San Diego","Central San Diego",0.76665115,2017-05-11,2017,1,0.76665115,"Natural",0.79,"Unhealthy Biology",223.75467982018,"Likely Stressed",4.91313836163836,"Likely Stressed",64.3804086740137,"Likely Stressed",8.5333431068931,"Likely Stressed",19.5255904928405,"Likely Stressed",389.530469476631,"Unlikely Stressed",1702.25892357642,"Likely Stressed",2649.10525887447,"Likely Stressed",2039.40094518815,"Likely Stressed"
"52","SMC05407",34.50124,-119.35043,402,"Ventura","Ventura",1.01209826,2011-07-21,2011,1,1.01209826,"Natural",0.79,"Healthy Biology",144.724571761572,"Likely Stressed",1.23608391608391,"Unlikely Stressed",31.8835785564864,"Likely Stressed",4.95325078255078,"Likely Stressed",4.32118872793873,"Likely Stressed",-12.4715327048479,"Likely Stressed",-79.0901521811521,"Likely Stressed",191.41951025641,"Unlikely Stressed",254.921887612388,"Likely Stressed"
"53","403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara",0.76272586,2016-06-22,2016,1,0.76272586,"Natural",0.79,"Unhealthy Biology",6.54566117216116,"Likely Stressed",10.5921439393939,"Likely Stressed",21.958244248666,"Likely Stressed",7.58658418248418,"Likely Stressed",8.29547619047619,"Likely Stressed",-940.439486308818,"Likely Stressed",-327.476374625374,"Likely Stressed",-1746.75397918748,"Likely Stressed",-1591.14196623377,"Likely Stressed"
"54","907BCT",32.96654,-116.65211,907,"San Diego","Mission Bay and San Diego River",0.86788744,2014-04-17,2014,1,0.9583806,"Natural",0.79,"Healthy Biology",94.3084054279055,"Likely Stressed",1.46018581418581,"Unlikely Stressed",28.1940492196027,"Likely Stressed",2.89212750582751,"Likely Stressed",13.0078339160839,"Likely Stressed",-114.098291574883,"Likely Stressed",-27.3082684220542,"Likely Stressed",144.998416150516,"Unlikely Stressed",279.301553779553,"Likely Stressed"
"55","SMC01979",34.45205,-119.13624,403,"Ventura","Santa Clara",0.94480292,2011-07-14,2011,1,0.94480292,"Natural",0.79,"Healthy Biology",405.426330835831,"Likely Stressed",10.7178681318681,"Likely Stressed",21.7731277218797,"Likely Stressed",3.14206724941725,"Likely Stressed",14.6837585747586,"Likely Stressed",-11.4614185871458,"Likely Stressed",-51.5308894438895,"Likely Stressed",114.789996470197,"Unlikely Stressed",326.484725774227,"Likely Stressed"
