"","masterid","longitude","latitude","county","sampleyear","CSCI.Score","Modified.Class","Flow.Metric.Name","Change_in_Flow.Metric_Value_(cfs)","CSCI.Threshold","CSCI.Level","Flow.Alteration.Stress"
"29","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Fall pulse magnitude",-0.687890097557132,0.79,"Unhealthy Biology","Unlikely Stressed"
"30","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","10-year flood magnitude",-282.242069264069,0.79,"Unhealthy Biology","Likely Stressed"
"31","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","2-year flood magnitude",-511.875061938061,0.79,"Unhealthy Biology","Likely Stressed"
"32","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","5-year flood magnitude",-986.1327007992,0.79,"Unhealthy Biology","Likely Stressed"
"33","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Spring recession magnitude",45.4057335997336,0.79,"Unhealthy Biology","Likely Stressed"
"34","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Wet-season low baseflow",-1.15080514485514,0.79,"Unhealthy Biology","Likely Stressed"
"35","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Wet-season median baseflow",-2.27561663336664,0.79,"Unhealthy Biology","Likely Stressed"
"36","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Magnitude of largest annual storm",-279.938212000324,0.79,"Unhealthy Biology","Likely Stressed"
"37","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Dry-season median baseflow",0.910826007326006,0.79,"Unhealthy Biology","Unlikely Stressed"
"38","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Fall pulse magnitude",17.2775808148743,0.79,"Unhealthy Biology","Unlikely Stressed"
"39","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","10-year flood magnitude",17.393842857143,0.79,"Unhealthy Biology","Unlikely Stressed"
"40","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","2-year flood magnitude",-110.380182983683,0.79,"Unhealthy Biology","Likely Stressed"
"41","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","5-year flood magnitude",73.6680567099569,0.79,"Unhealthy Biology","Unlikely Stressed"
"42","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Spring recession magnitude",90.6654495504496,0.79,"Unhealthy Biology","Likely Stressed"
"43","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Wet-season low baseflow",0.923610089910089,0.79,"Unhealthy Biology","Unlikely Stressed"
"44","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Wet-season median baseflow",10.8327249417249,0.79,"Unhealthy Biology","Likely Stressed"
"45","402M00030",-119.29959,34.43881,"Ventura",2017,0.63268103,"Natural","Magnitude of largest annual storm",-201.568092025234,0.79,"Unhealthy Biology","Likely Stressed"
"46","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Dry-season median baseflow",1.06080627705628,0.79,"Unhealthy Biology","Unlikely Stressed"
"47","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Fall pulse magnitude",16.9714560665177,0.79,"Unhealthy Biology","Unlikely Stressed"
"48","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","10-year flood magnitude",33.6192321345322,0.79,"Unhealthy Biology","Unlikely Stressed"
"49","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","2-year flood magnitude",-144.203689310689,0.79,"Unhealthy Biology","Likely Stressed"
"50","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","5-year flood magnitude",74.9715786879788,0.79,"Unhealthy Biology","Unlikely Stressed"
"51","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Spring recession magnitude",131.21438028638,0.79,"Unhealthy Biology","Likely Stressed"
"52","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Wet-season low baseflow",2.45090834165834,0.79,"Unhealthy Biology","Unlikely Stressed"
"53","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Wet-season median baseflow",11.5108139360639,0.79,"Unhealthy Biology","Likely Stressed"
"54","402M00042",-119.28891,34.46039,"Ventura",2017,0.66971245,"Natural","Magnitude of largest annual storm",-46.137752218428,0.79,"Unhealthy Biology","Likely Stressed"
"55","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Dry-season median baseflow",0.91200183150183,0.79,"Unhealthy Biology","Unlikely Stressed"
"56","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Fall pulse magnitude",17.1847085058877,0.79,"Unhealthy Biology","Unlikely Stressed"
"57","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","10-year flood magnitude",27.5437244755245,0.79,"Unhealthy Biology","Unlikely Stressed"
"58","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","2-year flood magnitude",-105.320462870463,0.79,"Unhealthy Biology","Likely Stressed"
"59","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","5-year flood magnitude",79.6904879453881,0.79,"Unhealthy Biology","Unlikely Stressed"
"60","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Spring recession magnitude",90.2696328671329,0.79,"Unhealthy Biology","Likely Stressed"
"61","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Wet-season low baseflow",0.84950178155178,0.79,"Unhealthy Biology","Unlikely Stressed"
"62","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Wet-season median baseflow",8.76146903096903,0.79,"Unhealthy Biology","Likely Stressed"
"63","402M00058",-119.29586,34.44552,"Ventura",2019,0.7503205,"Natural","Magnitude of largest annual storm",-58.2012574851563,0.79,"Unhealthy Biology","Likely Stressed"
"64","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Dry-season median baseflow",0.919002830502831,0.79,"Healthy Biology","Unlikely Stressed"
"65","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Fall pulse magnitude",16.7650335853614,0.79,"Healthy Biology","Unlikely Stressed"
"66","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","10-year flood magnitude",9.04074878454885,0.79,"Healthy Biology","Unlikely Stressed"
"67","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","2-year flood magnitude",-139.990106393606,0.79,"Healthy Biology","Likely Stressed"
"68","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","5-year flood magnitude",78.7620505494507,0.79,"Healthy Biology","Unlikely Stressed"
"69","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Spring recession magnitude",93.6339763569764,0.79,"Healthy Biology","Likely Stressed"
"70","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Wet-season low baseflow",0.896279037629036,0.79,"Healthy Biology","Unlikely Stressed"
"71","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Wet-season median baseflow",10.7187088744588,0.79,"Healthy Biology","Likely Stressed"
"72","402M00090",-119.29046,34.4462,"Ventura",2020,0.90291725,"Natural","Magnitude of largest annual storm",-62.7139654076595,0.79,"Healthy Biology","Likely Stressed"
"73","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Dry-season median baseflow",1.33734315684316,0.79,"Healthy Biology","Unlikely Stressed"
"74","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Fall pulse magnitude",32.2108036725351,0.79,"Healthy Biology","Likely Stressed"
"75","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","10-year flood magnitude",2130.75711738262,0.79,"Healthy Biology","Unlikely Stressed"
"76","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","2-year flood magnitude",1243.63397036297,0.79,"Healthy Biology","Likely Stressed"
"77","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","5-year flood magnitude",2312.64063086914,0.79,"Healthy Biology","Likely Stressed"
"78","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Spring recession magnitude",113.283482184482,0.79,"Healthy Biology","Likely Stressed"
"79","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Wet-season low baseflow",1.49478777888778,0.79,"Healthy Biology","Unlikely Stressed"
"80","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Wet-season median baseflow",12.2232605727606,0.79,"Healthy Biology","Likely Stressed"
"81","402M00114",-119.37011,34.41665,"Ventura",2018,0.8413781,"Natural","Magnitude of largest annual storm",388.640900277401,0.79,"Healthy Biology","Likely Stressed"
"82","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Dry-season median baseflow",3.10044846819847,0.79,"Unhealthy Biology","Likely Stressed"
"83","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Fall pulse magnitude",13.2166791404837,0.79,"Unhealthy Biology","Unlikely Stressed"
"84","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","10-year flood magnitude",75.4189653679654,0.79,"Unhealthy Biology","Unlikely Stressed"
"85","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","2-year flood magnitude",-104.268286047286,0.79,"Unhealthy Biology","Likely Stressed"
"86","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","5-year flood magnitude",38.6089547785548,0.79,"Unhealthy Biology","Unlikely Stressed"
"87","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Spring recession magnitude",191.161366799867,0.79,"Unhealthy Biology","Likely Stressed"
"88","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Wet-season low baseflow",1.31196040626041,0.79,"Unhealthy Biology","Unlikely Stressed"
"89","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Wet-season median baseflow",19.3795373792874,0.79,"Unhealthy Biology","Likely Stressed"
"90","402M00127",-119.26342,34.42503,"Ventura",2019,0.66580263,"Natural","Magnitude of largest annual storm",-35.5349889142129,0.79,"Unhealthy Biology","Likely Stressed"
"91","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Dry-season median baseflow",8.2877241092241,0.79,"Healthy Biology","Likely Stressed"
"92","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Fall pulse magnitude",16.7464124992002,0.79,"Healthy Biology","Unlikely Stressed"
"93","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","10-year flood magnitude",-372.519646187147,0.79,"Healthy Biology","Likely Stressed"
"94","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","2-year flood magnitude",-1593.0468969364,0.79,"Healthy Biology","Likely Stressed"
"95","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","5-year flood magnitude",-1617.02734942835,0.79,"Healthy Biology","Likely Stressed"
"96","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Spring recession magnitude",44.9150184815187,0.79,"Healthy Biology","Likely Stressed"
"97","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Wet-season low baseflow",-2.150888994339,0.79,"Healthy Biology","Likely Stressed"
"98","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Wet-season median baseflow",-3.70754945054946,0.79,"Healthy Biology","Likely Stressed"
"99","402M00130",-119.30314,34.30178,"Ventura",2020,0.89128607,"Natural","Magnitude of largest annual storm",-511.676455920292,0.79,"Healthy Biology","Likely Stressed"
"100","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Dry-season median baseflow",1.26742932067932,0.79,"Healthy Biology","Unlikely Stressed"
"101","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Fall pulse magnitude",31.847770232065,0.79,"Healthy Biology","Likely Stressed"
"102","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","10-year flood magnitude",251.642449217449,0.79,"Healthy Biology","Unlikely Stressed"
"103","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","2-year flood magnitude",-78.1159640359639,0.79,"Healthy Biology","Likely Stressed"
"104","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","5-year flood magnitude",130.278863569764,0.79,"Healthy Biology","Unlikely Stressed"
"105","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Spring recession magnitude",143.649482184482,0.79,"Healthy Biology","Likely Stressed"
"106","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Wet-season low baseflow",5.76621048951049,0.79,"Healthy Biology","Likely Stressed"
"107","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Wet-season median baseflow",3.00448776223776,0.79,"Healthy Biology","Likely Stressed"
"108","402MJCMHS",-119.3573,34.5028,"Ventura",2014,1.08089004,"Natural","Magnitude of largest annual storm",-10.0467327170367,0.79,"Healthy Biology","Likely Stressed"
"109","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Dry-season median baseflow",1.03200882450883,0.79,"Healthy Biology","Unlikely Stressed"
"110","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Fall pulse magnitude",23.8605437790959,0.79,"Healthy Biology","Likely Stressed"
"111","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","10-year flood magnitude",223.988348651349,0.79,"Healthy Biology","Unlikely Stressed"
"112","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","2-year flood magnitude",-92.5432838827837,0.79,"Healthy Biology","Likely Stressed"
"113","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","5-year flood magnitude",174.045840459541,0.79,"Healthy Biology","Unlikely Stressed"
"114","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Spring recession magnitude",113.943306859807,0.79,"Healthy Biology","Likely Stressed"
"115","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Wet-season low baseflow",4.20510880785881,0.79,"Healthy Biology","Likely Stressed"
"116","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Wet-season median baseflow",9.77950149850149,0.79,"Healthy Biology","Likely Stressed"
"117","402MTCUNF",-119.3792,34.5175,"Ventura",2012,1.13582404,"Natural","Magnitude of largest annual storm",-21.8815711289132,0.79,"Healthy Biology","Likely Stressed"
"118","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Dry-season median baseflow",1.74105702630703,0.79,"Healthy Biology","Unlikely Stressed"
"119","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Fall pulse magnitude",39.6202657868126,0.79,"Healthy Biology","Likely Stressed"
"120","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","10-year flood magnitude",274.562950382951,0.79,"Healthy Biology","Unlikely Stressed"
"121","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","2-year flood magnitude",-69.0231182151182,0.79,"Healthy Biology","Likely Stressed"
"122","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","5-year flood magnitude",55.9614360639361,0.79,"Healthy Biology","Unlikely Stressed"
"123","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Spring recession magnitude",328.832051282051,0.79,"Healthy Biology","Likely Stressed"
"124","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Wet-season low baseflow",8.55829763569763,0.79,"Healthy Biology","Likely Stressed"
"125","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Wet-season median baseflow",18.161748001998,0.79,"Healthy Biology","Likely Stressed"
"126","402PS0048",-119.40085,34.53077,"Ventura",2008,1.00527354,"Natural","Magnitude of largest annual storm",-10.3438378402273,0.79,"Healthy Biology","Likely Stressed"
"127","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Dry-season median baseflow",1.22914552114552,0.79,"Unhealthy Biology","Unlikely Stressed"
"128","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Fall pulse magnitude",31.24898519379,0.79,"Unhealthy Biology","Likely Stressed"
"129","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","10-year flood magnitude",235.977542957043,0.79,"Unhealthy Biology","Unlikely Stressed"
"130","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","2-year flood magnitude",-74.7099553779553,0.79,"Unhealthy Biology","Likely Stressed"
"131","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","5-year flood magnitude",130.704098667999,0.79,"Unhealthy Biology","Unlikely Stressed"
"132","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Spring recession magnitude",136.261333666334,0.79,"Unhealthy Biology","Likely Stressed"
"133","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Wet-season low baseflow",5.99990151515151,0.79,"Unhealthy Biology","Likely Stressed"
"134","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Wet-season median baseflow",3.91838994338994,0.79,"Unhealthy Biology","Likely Stressed"
"135","402SNPMCR",-119.37741,34.50509,"Ventura",2018,0.6098238,"Natural","Magnitude of largest annual storm",-14.1773825025283,0.79,"Unhealthy Biology","Likely Stressed"
"136","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Dry-season median baseflow",1.56529761904762,0.79,"Healthy Biology","Unlikely Stressed"
"137","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Fall pulse magnitude",37.3716800716961,0.79,"Healthy Biology","Likely Stressed"
"138","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","10-year flood magnitude",262.788395238095,0.79,"Healthy Biology","Unlikely Stressed"
"139","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","2-year flood magnitude",-69.7663986013985,0.79,"Healthy Biology","Likely Stressed"
"140","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","5-year flood magnitude",114.882988444888,0.79,"Healthy Biology","Unlikely Stressed"
"141","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Spring recession magnitude",174.804437562438,0.79,"Healthy Biology","Likely Stressed"
"142","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Wet-season low baseflow",8.04527752247752,0.79,"Healthy Biology","Likely Stressed"
"143","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Wet-season median baseflow",9.11015351315351,0.79,"Healthy Biology","Likely Stressed"
"144","402WE0536",-119.40537,34.5196,"Ventura",2000,1.18887539,"Natural","Magnitude of largest annual storm",-8.31281942286479,0.79,"Healthy Biology","Likely Stressed"
"145","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Dry-season median baseflow",2.04173626373626,0.79,"Healthy Biology","Unlikely Stressed"
"146","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Fall pulse magnitude",35.1817088926319,0.79,"Healthy Biology","Likely Stressed"
"147","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","10-year flood magnitude",28.5268871128872,0.79,"Healthy Biology","Unlikely Stressed"
"148","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","2-year flood magnitude",81.7825362970362,0.79,"Healthy Biology","Likely Stressed"
"149","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","5-year flood magnitude",153.104837129537,0.79,"Healthy Biology","Unlikely Stressed"
"150","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Spring recession magnitude",154.089371794872,0.79,"Healthy Biology","Likely Stressed"
"151","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Wet-season low baseflow",1.2840225940726,0.79,"Healthy Biology","Unlikely Stressed"
"152","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Wet-season median baseflow",12.2043881118881,0.79,"Healthy Biology","Likely Stressed"
"153","402WE0803",-119.3806,34.42131,"Ventura",2001,1.01464196,"Natural","Magnitude of largest annual storm",-21.9416301137292,0.79,"Healthy Biology","Likely Stressed"
"154","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Dry-season median baseflow",0.596591075591076,0.79,"Healthy Biology","Unlikely Stressed"
"155","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Fall pulse magnitude",22.9396527597011,0.79,"Healthy Biology","Likely Stressed"
"156","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","10-year flood magnitude",113.301516650017,0.79,"Healthy Biology","Unlikely Stressed"
"157","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","2-year flood magnitude",-151.569726273726,0.79,"Healthy Biology","Likely Stressed"
"158","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","5-year flood magnitude",82.2427400599402,0.79,"Healthy Biology","Unlikely Stressed"
"159","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Spring recession magnitude",146.810757742258,0.79,"Healthy Biology","Likely Stressed"
"160","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Wet-season low baseflow",3.13102402597403,0.79,"Healthy Biology","Unlikely Stressed"
"161","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Wet-season median baseflow",15.8397982017982,0.79,"Healthy Biology","Likely Stressed"
"162","402WER001",-119.27806,34.50528,"Ventura",2003,1.08676844,"Natural","Magnitude of largest annual storm",-17.7109738135877,0.79,"Healthy Biology","Likely Stressed"
"163","403CE0156",-119.05968,34.37746,"Ventura",2016,1.0017414,"Natural","Dry-season median baseflow",1.87352355977356,0.79,"Healthy Biology","Unlikely Stressed"
"164","403CE0156",-119.05968,34.37746,"Ventura",2016,1.0017414,"Natural","Fall pulse magnitude",10.497255227208,0.79,"Healthy Biology","Unlikely Stressed"
"165","403CE0156",-119.05968,34.37746,"Ventura",2016,1.0017414,"Natural","10-year flood magnitude",255.544192374293,0.79,"Healthy Biology","Unlikely Stressed"
"166","403CE0156",-119.05968,34.37746,"Ventura",2016,1.0017414,"Natural","2-year flood magnitude",-104.461291375291,0.79,"Healthy Biology","Likely Stressed"
"167","403CE0156",-119.05968,34.37746,"Ventura",2016,1.0017414,"Natural","5-year flood magnitude",225.11602024642,0.79,"Healthy Biology","Unlikely Stressed"
